Product Code,Product Primary Name,Dispensing Units,Doses Per Dispensing Unit,Pack Size,Product Is Active,Product Is Full Supply,Is A Tracer Product,Pack Rounding Threshold,Can Round To Zero,Product Strength,Product Form,Description
01A01,"Digoxina 0,25mg Comp",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"0,25mg",Comprimidos,Digoxina
01A02,"Digoxina; 2,5mg/50mL; Gotas Orais",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"2,5mg/50mL",Gotas Orais,Digoxina
01A03,"Digoxina; 0,5mg/2mL; Injectável",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"0,5mg/2mL",Injectável,Digoxina
01A03Z,"Digoxina; 0,25mg/2mL; Injectável",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"0,25mg/2mL",Injectável,Digoxina
01A04,Dobutamina; 250mg/5mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,250mg/5mL,Injectável,Dobutamina
01A04Z,Dobutamina; 250mg/20mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,250mg/20mL,Injectável,Dobutamina
01A05,Dopamina HCL; 200mg/5mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,200mg/5mL,Injectável,Dopamina HCL
01A0ZZ,Noradrenalina( Norepinefrina) 2mg/mL Inj,1,1,1,TRUE,TRUE,FALSE,0,FALSE,2mg/mL,Injectável,Noradrenalina( Norepinefrina)
01B01,Adenosina; 6mg/2mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,6mg/2mL,Injectável,Adenosina
01B02,Amiodarona HCL; 200mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,200mg,Comprimidos,Amiodarona HCL
01B03,Amiodarona HCL; 150mg/3mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,150mg/3mL,Injectável,Amiodarona HCL
01B04,Verapamil; 40mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,40mg,Comprimidos,Verapamil
01B05,Verapamil; 5mg/2mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,5mg/2mL,Injectável,Verapamil
01C01,Hidralazina; 25mg/5mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,25mg/5mL,Injectável,Hidralazina
01C01Z,Hidralazina; 20mg/mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,20mg/mL,Injectável,Hidralazina
01C02,Hidralazina; 25mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,25mg,Comprimidos,Hidralazina
01C03,Labetalol; 5mg/mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,5mg/mL,Injectável,Labetalol
01C04,Metildopa; 250mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,250mg,Comprimidos,Metildopa
01C05,"Reserpina; 0,25mg; Comprimidos",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"0,25mg",Comprimidos,Reserpina
01C0XZ,"Indapamida; 2,5mg; Comprimidos",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"2,5mg",Comprimidos,Indapamida
01E01,Atenolol; 50mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,50mg,Comprimidos,Atenolol
01E01Y,Esmolol Hidrocloreto; 10mg; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg,Injectável,Esmolol Hidrocloreto
01E01Z,Atenolol; 100mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,100mg,Comprimidos,Atenolol
01E02,"Bisoprolol; 2,5mg; Comprimidos",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"2,5mg",Comprimidos,Bisoprolol
01E03,Propranolol; 40mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,40mg,Comprimidos,Propranolol
01F01,Amlodipina; 10mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg,Comprimidos,Amlodipina
01F01Z,Amlodipina besilato; 5mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,5mg,Comprimidos,Amlodipina besilato
01F02,Nifedipina accao prolongada; 30mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,30mg,Comprimidos,Nifedipina accao prolongada
01F02Z,Nifedipina; 10mg; Cápsulas,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg,Cápsulas,Nifedipina
01G01,Dinitrato de isossorbido; 40mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,40mg,Comprimidos,Dinitrato de isossorbido
01G01Z,Mononitrato de isossorbido; 40mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,40mg,Comprimidos,Mononitrato de isossorbido
01G02,"Nitroglicerina; 0,5mg; Comprimidos",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"0,5mg",Comprimidos,Nitroglicerina
01G03,Nitroglicerina; 5mg/mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,5mg/mL,Injectável,Nitroglicerina
01G04,Nitropussiato de sodio; 50mg; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,50mg,Injectável,Nitropussiato de sodio
01H01,Enalapril; 5mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,5mg,Comprimidos,Enalapril
01H02,Enalapril; 20mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,20mg,Comprimidos,Enalapril
01I01,Irbesartam; 150mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,150mg,Comprimidos,Irbesartam
01J01,Bezafibrato; 200mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,200mg,Comprimidos,Bezafibrato
01J02,Sinvastatina; 20mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,20mg,Comprimidos,Sinvastatina
01J02Z,Sinvastatina; 10mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg,Comprimidos,Sinvastatina
01J0ZZ,Atorvastatina; 20mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,20mg,Comprimidos,Atorvastatina
01K0ZZ,Polidocanol 60mg/2mL Inj,1,1,1,TRUE,TRUE,FALSE,0,FALSE,60mg/2mL,Injectável,Polidocanol
02A01,Hidroxido de aluminio; 500mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,500mg,Comprimidos,Hidroxido de aluminio
02A02,Hidroxido de Magnesio; 425mg/5mL; Suspensão,1,1,1,TRUE,TRUE,FALSE,0,FALSE,425mg/5mL,Suspensão,Hidroxido de Magnesio
02A02Z,Hidroxido de  Magnesio; 311mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,311mg,Comprimidos,Hidroxido de  Magnesio
02A03,Hidrox de magn+Aluminio; 665mg/5mL + 1200mg/5mL; Gel,1,1,1,TRUE,TRUE,FALSE,0,FALSE,665mg/5mL + 1200mg/5mL,Gel,Hidrox de magn+Aluminio
02A03Y,Hidrox de Alumin+Magn; 225 +200mg/5mL; Suspensão,1,1,1,TRUE,TRUE,FALSE,0,FALSE,225 +200mg/5mL,Suspensão,Hidrox de Alumin+Magn
02A03Z,Hidrox de Alumin+Magn; 405mg+100mg/mL; Suspensão,1,1,1,TRUE,TRUE,FALSE,0,FALSE,405mg+100mg/mL,Suspensão,Hidrox de Alumin+Magn
02A04,Omeprazol; 20mg; Cápsulas,1,1,1,TRUE,TRUE,FALSE,0,FALSE,20mg,Cápsulas,Omeprazol
02A05,Omeprazol; 40mg/10mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,40mg/10mL,Injectável,Omeprazol
02A06,Ranitidina; 150mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,150mg,Comprimidos,Ranitidina
02A07,Ranitidina; 50mg/2mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,50mg/2mL,Injectável,Ranitidina
02A0ZY,Cimetidina; 200mg/2mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,200mg/2mL,Injectável,Cimetidina
02A0ZZ,Cimetidina; 200mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,200mg,Comprimidos,Cimetidina
02B01,Butilescopolamina; 10mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg,Comprimidos,Butilescopolamina
02B02,Butilescopolamina; 20mg/mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,20mg/mL,Injectável,Butilescopolamina
02B03,Mebeverina HCL; 135mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,135mg,Comprimidos,Mebeverina HCL
02B0ZZ,"Butilescopolamina; 0,2%; Supositório",1,1,1,TRUE,TRUE,FALSE,0,FALSE,"0,2%",Supositório,Butilescopolamina
02C01,Metoclopramida; 10mg; Comprimidos,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg,Comprimidos,Metoclopramida
02C02,Metoclopramida; 10mg/2mL; Injectável,1,1,1,TRUE,TRUE,FALSE,0,FALSE,10mg/2mL,Injectável,Metoclopramida
